"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 09 11:44:25 EST 2024","Tue Jan 09 11:44:26 EST 2024","303","","User tests the Tree page on the Ds algo application","","The user is able to navigate to Terminologies page having an tryEditor","","The user is able to navigate to Terminologies page having an tryEditor",""
"passed","Tue Jan 09 11:45:00 EST 2024","Tue Jan 09 11:45:01 EST 2024","606","","Graph: Luanch the DS-Algo portal and test Graph module","","The user is able to run code in Editor for Graph Representations page","","The user is able to run code in Editor for Graph Representations page",""
"passed","Tue Jan 09 11:43:12 EST 2024","Tue Jan 09 11:43:13 EST 2024","1012","","Array feature","","Navigating Arrays in Python page","","Navigating Arrays in Python page",""
"passed","Tue Jan 09 11:43:55 EST 2024","Tue Jan 09 11:43:55 EST 2024","472","","Testing LinkedList page","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 09 11:44:52 EST 2024","Tue Jan 09 11:44:52 EST 2024","319","","Graph: Luanch the DS-Algo portal and test Graph module","","The user is able to navigate to Graph home page","","The user is able to navigate to Graph home page",""
"passed","Tue Jan 09 11:44:16 EST 2024","Tue Jan 09 11:44:17 EST 2024","866","","Queue feature","","Navigating Implementation using array page","","Navigating Implementation using array page",""
"passed","Tue Jan 09 11:44:13 EST 2024","Tue Jan 09 11:44:14 EST 2024","541","","Queue feature","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 09 11:43:33 EST 2024","Tue Jan 09 11:43:36 EST 2024","2896","","Array feature","","The user is able to submit code in tryEditor for Max Consecutive Ones","","The user is able to submit code in tryEditor for Max Consecutive Ones",""
"passed","Tue Jan 09 11:43:50 EST 2024","Tue Jan 09 11:43:51 EST 2024","739","","Testing LinkedList page","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 09 11:44:04 EST 2024","Tue Jan 09 11:44:04 EST 2024","354","","Stack: Luanch the DS-Algo portal and test Stack module","","The user is able to navigate to ""Operations in Stack"" page","","The user is able to navigate to ""Operations in Stack"" page",""
"passed","Tue Jan 09 11:44:34 EST 2024","Tue Jan 09 11:44:35 EST 2024","523","","User tests the Tree page on the Ds algo application","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 09 11:44:44 EST 2024","Tue Jan 09 11:44:44 EST 2024","345","","User tests the Tree page on the Ds algo application","","The user is able to navigate to a page having an tryEditor from Applications of Binary trees Page","","The user is able to navigate to a page having an tryEditor from Applications of Binary trees Page",""
"passed","Tue Jan 09 11:42:57 EST 2024","Tue Jan 09 11:42:58 EST 2024","800","","Validating Login page","","User on login page and login with valid username and empty password","","User on login page and login with valid username and empty password",""
"passed","Tue Jan 09 11:44:17 EST 2024","Tue Jan 09 11:44:18 EST 2024","470","","Queue feature","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 09 11:43:51 EST 2024","Tue Jan 09 11:43:51 EST 2024","464","","Testing LinkedList page","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 09 11:43:46 EST 2024","Tue Jan 09 11:43:46 EST 2024","373","","Array feature","","The user is presented with error message for code with invalid syntax in tryEditor for Squares of a Sorted Array","","The user is presented with error message for code with invalid syntax in tryEditor for Squares of a Sorted Array",""
"passed","Tue Jan 09 11:43:58 EST 2024","Tue Jan 09 11:43:59 EST 2024","485","","Testing LinkedList page","","user navigated to ""Insertion"" page","","user navigated to ""Insertion"" page",""
"passed","Tue Jan 09 11:42:48 EST 2024","Tue Jan 09 11:42:49 EST 2024","1271","","Validating Register page","","The user is presented with error message for password with characters less than eight","","The user is presented with error message for password with characters less than eight",""
"passed","Tue Jan 09 11:44:35 EST 2024","Tue Jan 09 11:44:35 EST 2024","650","","User tests the Tree page on the Ds algo application","","The user is able to navigate to ""Types of Binary trees"" Page","","The user is able to navigate to ""Types of Binary trees"" Page",""
"passed","Tue Jan 09 11:44:49 EST 2024","Tue Jan 09 11:44:50 EST 2024","437","","User tests the Tree page on the Ds algo application","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 09 11:42:37 EST 2024","Tue Jan 09 11:42:38 EST 2024","526","","User launch dsalgo application and test Home page","","User is on Home page and click on sign in","","User is on Home page and click on sign in",""
"passed","Tue Jan 09 11:43:59 EST 2024","Tue Jan 09 11:44:00 EST 2024","676","","Testing LinkedList page","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 09 11:44:02 EST 2024","Tue Jan 09 11:44:02 EST 2024","467","","Testing LinkedList page","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 09 11:44:23 EST 2024","Tue Jan 09 11:44:24 EST 2024","343","","User tests the Tree page on the Ds algo application","","The user is able to navigate to a page having an tryEditor from Overview of Trees page","","The user is able to navigate to a page having an tryEditor from Overview of Trees page",""
"passed","Tue Jan 09 11:42:52 EST 2024","Tue Jan 09 11:42:53 EST 2024","1291","","Validating Register page","","The user is presented with error message for commonly used password","","The user is presented with error message for commonly used password",""
"passed","Tue Jan 09 11:41:54 EST 2024","Tue Jan 09 11:41:58 EST 2024","4562","","User launch dsalgo application and test Home page","","User is on Home page and click getstarted link ""Arrays"" on home page without sign in","","User is on Home page and click getstarted link ""Arrays"" on home page without sign in",""
"passed","Tue Jan 09 11:43:42 EST 2024","Tue Jan 09 11:43:42 EST 2024","356","","Array feature","","The user is able to navigate to Question page from Squares of a Sorted Array","","The user is able to navigate to Question page from Squares of a Sorted Array",""
"passed","Tue Jan 09 11:42:58 EST 2024","Tue Jan 09 11:42:59 EST 2024","1176","","Validating Login page","","User on login page and login with invalid username and invalid password","","User on login page and login with invalid username and invalid password",""
"passed","Tue Jan 09 11:44:38 EST 2024","Tue Jan 09 11:44:38 EST 2024","534","","User tests the Tree page on the Ds algo application","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 09 11:43:20 EST 2024","Tue Jan 09 11:43:21 EST 2024","1046","","Array feature","","Navigating Applications of Array page","","Navigating Applications of Array page",""
"passed","Tue Jan 09 11:42:19 EST 2024","Tue Jan 09 11:42:23 EST 2024","3394","","User launch dsalgo application and test Home page","","User is on Home page and click on dropdown ""Linkedlist"" without sign in","","User is on Home page and click on dropdown ""Linkedlist"" without sign in",""
"passed","Tue Jan 09 11:44:18 EST 2024","Tue Jan 09 11:44:19 EST 2024","873","","Queue feature","","Navigating Queue Operations page","","Navigating Queue Operations page",""
"passed","Tue Jan 09 11:43:25 EST 2024","Tue Jan 09 11:43:27 EST 2024","2538","","Array feature","","The user is able to run code in tryEditor for Search the array link","","The user is able to run code in tryEditor for Search the array link",""
"passed","Tue Jan 09 11:42:05 EST 2024","Tue Jan 09 11:42:09 EST 2024","3396","","User launch dsalgo application and test Home page","","User is on Home page and click getstarted link ""Queue"" on home page without sign in","","User is on Home page and click getstarted link ""Queue"" on home page without sign in",""
"passed","Tue Jan 09 11:44:05 EST 2024","Tue Jan 09 11:44:06 EST 2024","410","","Stack: Luanch the DS-Algo portal and test Stack module","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 09 11:44:45 EST 2024","Tue Jan 09 11:44:46 EST 2024","681","","User tests the Tree page on the Ds algo application","","The user is able to navigate to ""Binary Search Trees"" Page","","The user is able to navigate to ""Binary Search Trees"" Page",""
"passed","Tue Jan 09 11:43:03 EST 2024","Tue Jan 09 11:43:04 EST 2024","953","","DataStructures-Introduction feature","","The user is logged in to DS Algo portal","","The user is logged in to DS Algo portal",""
"passed","Tue Jan 09 11:44:40 EST 2024","Tue Jan 09 11:44:41 EST 2024","519","","User tests the Tree page on the Ds algo application","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 09 11:44:10 EST 2024","Tue Jan 09 11:44:10 EST 2024","559","","Stack: Luanch the DS-Algo portal and test Stack module","","The user is able to navigate to ""Practice Questions"" in stack Page","","The user is able to navigate to ""Practice Questions"" in stack Page",""
"passed","Tue Jan 09 11:44:35 EST 2024","Tue Jan 09 11:44:36 EST 2024","395","","User tests the Tree page on the Ds algo application","","The user is able to navigate to a page having an tryEditor from Types of Binary Trees Page","","The user is able to navigate to a page having an tryEditor from Types of Binary Trees Page",""
"passed","Tue Jan 09 11:44:51 EST 2024","Tue Jan 09 11:44:52 EST 2024","1137","","Graph: Luanch the DS-Algo portal and test Graph module","","The user is logged in to DS Algo portal","","The user is logged in to DS Algo portal",""
"passed","Tue Jan 09 11:44:29 EST 2024","Tue Jan 09 11:44:30 EST 2024","438","","User tests the Tree page on the Ds algo application","","The user is able to navigate to a page having an tryEditor from Tree Traversals Page","","The user is able to navigate to a page having an tryEditor from Tree Traversals Page",""
"passed","Tue Jan 09 11:43:39 EST 2024","Tue Jan 09 11:43:41 EST 2024","2171","","Array feature","","The user is able to submit code in tryEditor for Find Numbers with Even Number of Digits","","The user is able to submit code in tryEditor for Find Numbers with Even Number of Digits",""
"passed","Tue Jan 09 11:44:43 EST 2024","Tue Jan 09 11:44:44 EST 2024","518","","User tests the Tree page on the Ds algo application","","The user is able to navigate to Applications of Binary Trees Page","","The user is able to navigate to Applications of Binary Trees Page",""
"passed","Tue Jan 09 11:42:46 EST 2024","Tue Jan 09 11:42:47 EST 2024","763","","Validating Register page","","The user is presented with error message for invalid username","","The user is presented with error message for invalid username",""
"passed","Tue Jan 09 11:44:29 EST 2024","Tue Jan 09 11:44:29 EST 2024","458","","User tests the Tree page on the Ds algo application","","The user is able to navigate to ""Tree Traversals"" Page","","The user is able to navigate to ""Tree Traversals"" Page",""
"passed","Tue Jan 09 11:42:59 EST 2024","Tue Jan 09 11:43:00 EST 2024","1087","","Validating Login page","","User on login page and login with valid username and invalid password","","User on login page and login with valid username and invalid password",""
"passed","Tue Jan 09 11:43:41 EST 2024","Tue Jan 09 11:43:42 EST 2024","563","","Array feature","","The user is presented with error message for code with invalid syntax in tryEditor for Find Numbers with Even Number of Digits","","The user is presented with error message for code with invalid syntax in tryEditor for Find Numbers with Even Number of Digits",""
"passed","Tue Jan 09 11:43:52 EST 2024","Tue Jan 09 11:43:53 EST 2024","611","","Testing LinkedList page","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 09 11:42:23 EST 2024","Tue Jan 09 11:42:26 EST 2024","3554","","User launch dsalgo application and test Home page","","User is on Home page and click on dropdown ""Stack"" without sign in","","User is on Home page and click on dropdown ""Stack"" without sign in",""
"passed","Tue Jan 09 11:43:24 EST 2024","Tue Jan 09 11:43:25 EST 2024","449","","Array feature","","The user is able to navigate to Question page from Search the array link","","The user is able to navigate to Question page from Search the array link",""
"passed","Tue Jan 09 11:43:47 EST 2024","Tue Jan 09 11:43:47 EST 2024","51","","Testing LinkedList page","","User navigated to ""linked list"" page","","User navigated to ""linked list"" page",""
"passed","Tue Jan 09 11:42:26 EST 2024","Tue Jan 09 11:42:30 EST 2024","3524","","User launch dsalgo application and test Home page","","User is on Home page and click on dropdown ""Queue"" without sign in","","User is on Home page and click on dropdown ""Queue"" without sign in",""
"passed","Tue Jan 09 11:43:50 EST 2024","Tue Jan 09 11:43:50 EST 2024","339","","Testing LinkedList page","","User navigated to tryEditor page with Run button from Creating a Linked List page","","User navigated to tryEditor page with Run button from Creating a Linked List page",""
"passed","Tue Jan 09 11:44:58 EST 2024","Tue Jan 09 11:45:00 EST 2024","1980","","Graph: Luanch the DS-Algo portal and test Graph module","","The user should be redirected to tryeditor page with run button to test python code","","The user should be redirected to tryeditor page with run button to test python code",""
"passed","Tue Jan 09 11:44:02 EST 2024","Tue Jan 09 11:44:03 EST 2024","499","","Testing LinkedList page","","The user validating ""Practice Questions"" page","","The user validating ""Practice Questions"" page",""
"passed","Tue Jan 09 11:44:43 EST 2024","Tue Jan 09 11:44:43 EST 2024","475","","User tests the Tree page on the Ds algo application","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 09 11:43:59 EST 2024","Tue Jan 09 11:43:59 EST 2024","364","","Testing LinkedList page","","User navigated to tryEditor page with Run button from Insertion page","","User navigated to tryEditor page with Run button from Insertion page",""
"passed","Tue Jan 09 11:42:38 EST 2024","Tue Jan 09 11:42:38 EST 2024","360","","User launch dsalgo application and test Home page","","User is on Home page and click on Register","","User is on Home page and click on Register",""
"passed","Tue Jan 09 11:44:31 EST 2024","Tue Jan 09 11:44:32 EST 2024","515","","User tests the Tree page on the Ds algo application","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 09 11:43:00 EST 2024","Tue Jan 09 11:43:01 EST 2024","1204","","Validating Login page","","User on login page and login with valid username and  valid password","","User on login page and login with valid username and  valid password",""
"passed","Tue Jan 09 11:44:55 EST 2024","Tue Jan 09 11:44:56 EST 2024","708","","Graph: Luanch the DS-Algo portal and test Graph module","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 09 11:43:57 EST 2024","Tue Jan 09 11:43:58 EST 2024","863","","Testing LinkedList page","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 09 11:43:13 EST 2024","Tue Jan 09 11:43:14 EST 2024","702","","Array feature","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 09 11:43:54 EST 2024","Tue Jan 09 11:43:55 EST 2024","523","","Testing LinkedList page","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 09 11:44:56 EST 2024","Tue Jan 09 11:44:56 EST 2024","464","","Graph: Luanch the DS-Algo portal and test Graph module","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 09 11:43:12 EST 2024","Tue Jan 09 11:43:12 EST 2024","357","","Array feature","","Navigating to Array page","","Navigating to Array page",""
"passed","Tue Jan 09 11:43:17 EST 2024","Tue Jan 09 11:43:17 EST 2024","766","","Array feature","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 09 11:42:34 EST 2024","Tue Jan 09 11:42:37 EST 2024","3407","","User launch dsalgo application and test Home page","","User is on Home page and click on dropdown ""Graph"" without sign in","","User is on Home page and click on dropdown ""Graph"" without sign in",""
"passed","Tue Jan 09 11:42:02 EST 2024","Tue Jan 09 11:42:05 EST 2024","3496","","User launch dsalgo application and test Home page","","User is on Home page and click getstarted link ""Stack"" on home page without sign in","","User is on Home page and click getstarted link ""Stack"" on home page without sign in",""
"passed","Tue Jan 09 11:44:42 EST 2024","Tue Jan 09 11:44:43 EST 2024","693","","User tests the Tree page on the Ds algo application","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 09 11:44:26 EST 2024","Tue Jan 09 11:44:26 EST 2024","524","","User tests the Tree page on the Ds algo application","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 09 11:43:22 EST 2024","Tue Jan 09 11:43:23 EST 2024","607","","Array feature","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 09 11:44:46 EST 2024","Tue Jan 09 11:44:47 EST 2024","627","","User tests the Tree page on the Ds algo application","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 09 11:44:27 EST 2024","Tue Jan 09 11:44:27 EST 2024","577","","User tests the Tree page on the Ds algo application","","The user is able to navigate to ""Types of Trees"" Page","","The user is able to navigate to ""Types of Trees"" Page",""
"passed","Tue Jan 09 11:44:01 EST 2024","Tue Jan 09 11:44:02 EST 2024","576","","Testing LinkedList page","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 09 11:41:48 EST 2024","Tue Jan 09 11:41:53 EST 2024","4866","","User launch dsalgo application and test Home page","","User is on Home page and click getstarted link ""Datastructures"" on home page without sign in","","User is on Home page and click getstarted link ""Datastructures"" on home page without sign in",""
"passed","Tue Jan 09 11:44:33 EST 2024","Tue Jan 09 11:44:33 EST 2024","443","","User tests the Tree page on the Ds algo application","","The user is able to navigate to a page having an tryEditor from Binary Trees Page","","The user is able to navigate to a page having an tryEditor from Binary Trees Page",""
"passed","Tue Jan 09 11:44:24 EST 2024","Tue Jan 09 11:44:24 EST 2024","736","","User tests the Tree page on the Ds algo application","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 09 11:44:12 EST 2024","Tue Jan 09 11:44:13 EST 2024","677","","Queue feature","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 09 11:44:00 EST 2024","Tue Jan 09 11:44:00 EST 2024","628","","Testing LinkedList page","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"failed","Tue Jan 09 11:42:55 EST 2024","Tue Jan 09 11:42:57 EST 2024","1542","","Validating Register page","","The user is presented with error message for existing username","","The user is presented with error message for existing username",""
"passed","Tue Jan 09 11:42:53 EST 2024","Tue Jan 09 11:42:55 EST 2024","1567","","Validating Register page","","The user redirected to Homepage with valid details","","The user redirected to Homepage with valid details",""
"passed","Tue Jan 09 11:44:31 EST 2024","Tue Jan 09 11:44:31 EST 2024","436","","User tests the Tree page on the Ds algo application","","The user is able to navigate to ""Traversals illustration"" Page","","The user is able to navigate to ""Traversals illustration"" Page",""
